matchID,Win,OpponentsTeam1,OpponentsTeam2,OpponentsTeam3,OpponentsTeam4,OpponentsTeam5,OpponentsTeam6,OpponentBrought1,OpponentBrought2,OpponentBrought3,OpponentBrought4
699170970,0,Tapu Koko,Metagross,Landorus,Ferrothorn,Incineroar,Porygon2,Tapu Koko,Metagross,Incineroar,Porygon2
699170970,1,Tapu Koko,Kartana,Tapu Fini,Camerupt,Scrafty,Porygon2,Tapu Fini,Camerupt,Scrafty,Porygon2
698131033,1,Kommo-o,Gengar,Kartana,Scrafty,Volcarona,Sableye,Gengar,Kartana,Scrafty,Sableye
698131033,0,Latias,Landorus,Gothitelle,Tapu Koko,Snorlax,Scrafty,Latias,Landorus,Tapu Koko,Scrafty
698246455,0,Gengar,Whimsicott,Tapu Bulu,Kartana,Kommo-o,Heatran,Gengar,Whimsicott,Kommo-o,Heatran
698246455,1,Salamence,Landorus,Amoonguss,Azumarill,Aegislash,Tapu Koko,Salamence,Landorus,Aegislash,Tapu Koko
698797320,0,Metagross,Landorus,Amoonguss,Tapu Fini,Zapdos,Tyranitar,Metagross,Landorus,Tapu Fini,Zapdos
698797320,1,Marowak,Tapu Fini,Raikou,Kangaskhan,Landorus,Kartana,Tapu Fini,Kangaskhan,Kartana,unknown
699041423,0,Salamence,Aegislash,Tyranitar,Cresselia,Tapu Fini,Amoonguss,Salamence,Tyranitar,Cresselia,Tapu Fini
699041423,1,Tapu Fini,Tyranitar,Aegislash,Venusaur,Landorus,Zapdos,Tapu Fini,Tyranitar,Aegislash,Venusaur
699029563,0,Lopunny,Aegislash,Tapu Fini,Zapdos,Naganadel,Garchomp,Lopunny,Aegislash,Zapdos,Garchomp
699029563,1,Cresselia,Heatran,Venusaur,Landorus,Kangaskhan,Tapu Fini,Cresselia,Heatran,Venusaur,Landorus
699182032,1,Metagross,Tapu Lele,Zapdos,Landorus,Gastrodon,Tyranitar,Metagross,Tapu Lele,Landorus,Gastrodon
699182032,0,Salamence,Azumarill,Ferrothorn,Smeargle,Amoonguss,Tapu Koko,Salamence,Azumarill,Smeargle,Tapu Koko
698203682,1,Tapu Koko,Landorus,Scrafty,Latias,Gothitelle,Snorlax,Tapu Koko,Scrafty,Gothitelle,Snorlax
698203682,0,Salamence,Aegislash,Amoonguss,Tapu Fini,Tyranitar,Pheromosa,Salamence,Aegislash,Amoonguss,Tapu Fini
698694369,1,Smeargle,Crobat,Krookodile,Staraptor,Tapu Bulu,Lopunny,Smeargle,Crobat,Krookodile,Staraptor
698694369,0,Landorus,Zapdos,Amoonguss,Metagross,Tapu Fini,Tyranitar,Landorus,Zapdos,Amoonguss,Metagross
698130515,0,Kommo-o,Gengar,Kartana,Scrafty,Volcarona,Sableye,Gengar,Kartana,Scrafty,Volcarona
698130515,1,Latias,Landorus,Gothitelle,Tapu Koko,Snorlax,Scrafty,Latias,Landorus,Tapu Koko,Scrafty
699205964,0,Metagross,Tyranitar,Tapu Fini,Tapu Bulu,Volcarona,Persian,Tyranitar,Tapu Bulu,Volcarona,Persian
699205964,1,Cresselia,Charizard,Tapu Koko,Kartana,Landorus,Tyranitar,Cresselia,Charizard,Tapu Koko,Tyranitar
