matchID,Player,playerWin,Pokemon1,Pokemon2,Pokemon3,Pokemon4,Pokemon5,Pokemon6,Brought1,Brought2,Brought3,Brought4
687880913,PlatypusVGC,0,Gothitelle,Snorlax,Manectric,Tapu Fini,Celesteela,Persian,Snorlax,Manectric,Tapu Fini,Celesteela
687880913,blckkkkkk,1,Salamence,Mimikyu,Tapu Fini,Entei,Amoonguss,Stakataka,Mimikyu,Tapu Fini,Entei,Amoonguss
699150312,Gioppy,1,Thundurus,Landorus,Mimikyu,Snorlax,Tapu Fini,Salamence,Thundurus,Landorus,Mimikyu,Snorlax
699150312,bling blao,0,Gothitelle,Mawile,Tapu Bulu,Incineroar,Ludicolo,Politoed,Mawile,Ludicolo,Politoed,unknown
694270034,AV-Linkyoshimario,1,Tapu Fini,Metagross,Landorus,Zapdos,Incineroar,Tapu Lele,Metagross,Landorus,Zapdos,Tapu Lele
694270034,PinkSylvie,0,Azumarill,Salamence,Tyranitar,Excadrill,Clefairy,Tapu Koko,Azumarill,Salamence,Clefairy,unknown
701655216,Kamaal,0,Charizard,Raichu,Kartana,Landorus,Gothitelle,Snorlax,Charizard,Raichu,Kartana,Landorus
701655216,wiegelinho,1,Kangaskhan,Volcarona,Landorus,Celesteela,Tapu Koko,Azumarill,Kangaskhan,Volcarona,Landorus,Azumarill
701581770,frania \xe2\x99\x94,0,Charizard,Landorus,Kartana,Tapu Koko,Cresselia,Snorlax,Charizard,Landorus,Kartana,Snorlax
701581770,KillerQueenVGC,1,Manectric,Tapu Fini,Landorus,Celesteela,Snorlax,Gothitelle,Manectric,Landorus,Snorlax,Gothitelle
698277589,Footstool,0,Salamence,Tapu Koko,Landorus,Cresselia,Heatran,Tapu Bulu,Cresselia,Heatran,Tapu Bulu,unknown
698277589,junioichi,1,Charizard,Tapu Fini,Togedemaru,Cresselia,Landorus,Snorlax,Charizard,Tapu Fini,Cresselia,Landorus
702163083,iMagikarp,0,Cresselia,Landorus,Heatran,Charizard,Amoonguss,Tapu Fini,Cresselia,Landorus,Heatran,Amoonguss
702163083,EnigneVGC,1,Snorlax,Cresselia,Heatran,Zapdos,Landorus,Kangaskhan,Snorlax,Zapdos,Landorus,Kangaskhan
701450319,Knappi,0,Charizard,Amoonguss,Scrafty,Tapu Koko,Kartana,Cresselia,Scrafty,Tapu Koko,Kartana,Cresselia
701450319,Lore95VGC,1,Bronzong,Tapu Bulu,Heatran,Tyranitar,Landorus,Mimikyu,Heatran,Tyranitar,Landorus,Mimikyu
709465819,8 Maids a-Milking,0,Scrafty,Pelipper,Metagross,Tapu Bulu,Zapdos,Ludicolo,Pelipper,Metagross,Tapu Bulu,Ludicolo
709465819,LUKAMIR,1,Metagross,Zapdos,Tapu Lele,Amoonguss,Tyranitar,Landorus,Metagross,Zapdos,Tapu Lele,Tyranitar
698673893,AgentOrangeJulius,0,Tapu Fini,Kangaskhan,Landorus,Heatran,Cresselia,Kartana,Tapu Fini,Kangaskhan,Heatran,Cresselia
698673893,iMagikarp,1,Gengar,Whimsicott,Tapu Bulu,Heatran,Kommo-o,Kartana,Gengar,Whimsicott,Tapu Bulu,Kommo-o
695696239,rpindahouse,1,Charizard,Landorus,Tapu Lele,Blaziken,Aegislash,Suicune,Charizard,Landorus,Blaziken,Aegislash
695696239,Xenoblade Hero,0,Kangaskhan,Landorus,Heatran,Cresselia,Tapu Koko,Tapu Fini,Kangaskhan,Heatran,Cresselia,Tapu Koko
705944006,junioichi,1,Metagross,Zapdos,Landorus,Tapu Lele,Amoonguss,Tyranitar,Landorus,Tapu Lele,Amoonguss,Tyranitar
